head words,entry,sources,all lexemes,linked words,linked entries
"ubargangan, ubirgangen","<heading><strong>ubargangan</strong></heading>, <heading><strong>ubirgangen</strong></heading>, <lang>свн.</lang> <lex>übergân</lex> <em>переступать, переходить; престу­пать</em>; <lang>нн.</lang> <lex>übergehen</lex>.",,"übergân, übergehen",,
"ubarhlaupnissi","<heading><strong>ubarhlaupnissi</strong></heading> <gender>жр</gender> (jô) <em>лицемерие</em>.",,,,
"ubarmuodic","<heading><strong>ubarmuodic</strong></heading> (прил.) <em>упорный, непреклон­ный, упрямый</em>; ср. <lang>нн.</lang> <lex>übermütig</lex> <em>за­дорный</em>.",,"übermütig",,
"ubarstîgan","<heading><strong>ubarstîgan</strong></heading> <em>превышать, превосходить</em>; <lang>нн.</lang> <lex>übersteigen</lex>.",,"übersteigen",,
"ubarwinnan","<heading><strong>ubarwinnan</strong></heading> <em>побеждать, принуждать си­лой</em>.",,,,
"übe, upi","<heading><strong>übe</strong></heading>, <heading><strong>upi</strong></heading> (сз.), <linked>см. ibu</linked>.",,,"ibu","<heading><strong>ibu</strong></heading>, <heading><strong>ipu</strong></heading>, <heading><strong>ubi</strong></heading>, <heading><strong>obe</strong></heading>, <lang>свн.</lang> <lex variants="obe, ob">ob(e)</lex>, <lex>op</lex> (сз.) <em>если, как будто, хотя (и), ли</em>; <lang>нн.</lang> <lex>ob</lex>; <lang>дс.</lang> <lex>ef</lex>, <lex>of</lex>, <lang>ди.</lang> <lex>ef</lex>, <lang>го.</lang> <lex variants="ibai, iba">iba(i)</lex>., <heading><strong>nibu</strong></heading> (сз.) <em>если нет, кроме того, что, только, но</em>: из <lex>ni</lex> и <lex>ibu</lex>; <lang>дс.</lang> <lex>nebu</lex>, <lang>го.</lang> <lex>nibai</lex>."
"ubere","<heading><strong>ubere</strong></heading> (нар.) <em>вверху, наверх, сверху</em>.",,,,
"übergelten","<heading><strong>übergelten</strong></heading> <lang>свн.</lang> <em>превосходить</em>.",,,,
"überhôren","<heading><strong>überhôren</strong></heading> <lang>свн.</lang> <em>не слышать, пропускать мимо ушей</em>; <lang>нн.</lang> <lex>überhören</lex>.",,"überhören",,
"ubermuot","<heading><strong>ubermuot</strong></heading>, <lang>свн.</lang> <lex>übermuot</lex> <gender>мр</gender> <em>высокомерие</em>; <lang>нн.</lang> <lex>Übermut</lex>.",,"übermuot, Übermut",,
"übersehen","<heading><strong>übersehen</strong></heading> <lang>свн.</lang> <em>не видеть, не замечать</em>; <lang>нн.</lang> <lex>übersehen</lex>.",,"übersehen",,
"überstriten","<heading><strong>überstriten</strong></heading> <lang>свн.</lang> <em>превосходить</em>.",,,,
"überwinden","<heading><strong>überwinden</strong></heading> <em>побороть себя, победить</em>; <lang>нн.</lang> <lex>überwinden</lex>.",,"überwinden",,
"ubil, upil","<heading><strong>ubil</strong></heading>, <heading><strong>upil</strong></heading>, <lang>свн.</lang> <lex>übel</lex> (прил.) <em>злой, пло­хой, дурной</em> (сравн. <lang>двн.</lang> <lex>wirsiro</lex>, <lang>свн.</lang> <lex>wirser</lex>, прев. <lang>двн.</lang> <lex>wirsisto</lex>, <lang>свн.</lang> <lex>wirste</lex>); <lang>нн.</lang> <lex>übel</lex>; <lang>дс.</lang> <lex>uƀil</lex>, <lang>да.</lang> <lex>yfel</lex>, <lang>го.</lang> <lex>ubils</lex>; (нар.) <lex>ubelo</lex>, <lang>свн.</lang> <lex>übele</lex>.",,"wirsiro, wirser, wirsisto, übele, übel, wirste, ubils, ubelo, uƀil, yfel",,
"uðia","<heading><strong>uðia</strong></heading> <lang>дс.</lang> <gender>жр</gender> (n) <em>волна</em>; <lang>двн.</lang> <lex>unda</lex> <gender>жр</gender> (n и ô); <lang>да.</lang> <lex>ȳð</lex>.",,"ȳð, unda",,
"uthkreyeren","<heading><strong>uthkreyeren</strong></heading> <lang>нжн.</lang> (слгл.) <em>провозглашать, возвещать</em>.",,,,
"uthropen","<heading><strong>uthropen</strong></heading> <lang>нжн.</lang> (снгл.) <em>провозглашать, возвещать</em>; <lang>нн.</lang> <lex>ausrufen</lex>.",,"ausrufen",,
"ûf","<heading><strong>ûf</strong></heading> <lang>двн.</lang> <lang>свн.</lang> (нар. предл.) <em>вверх, наверх, сверху; на, в, по</em>; <lang>нн.</lang> <lex>auf</lex>; <lang>дс.</lang> <lex>ûp</lex>, <lang>да.</lang> <lex>ūpp</lex>, <lang>а.</lang> <lex>up</lex>, <lang>го.</lang> <lex>iup</lex>, <lex>uf</lex>.",,"up, auf, iup, ûp, uf, ūpp",,
"uvele","<heading><strong>uvele</strong></heading> <source>— Рот.—</source>, <linked>см. ubil</linked>.","Рот.",,"ubil","<heading><strong>ubil</strong></heading>, <heading><strong>upil</strong></heading>, <lang>свн.</lang> <lex>übel</lex> (прил.) <em>злой, пло­хой, дурной</em> (сравн. <lang>двн.</lang> <lex>wirsiro</lex>, <lang>свн.</lang> <lex>wirser</lex>, прев. <lang>двн.</lang> <lex>wirsisto</lex>, <lang>свн.</lang> <lex>wirste</lex>); <lang>нн.</lang> <lex>übel</lex>; <lang>дс.</lang> <lex>uƀil</lex>, <lang>да.</lang> <lex>yfel</lex>, <lang>го.</lang> <lex>ubils</lex>; (нар.) <lex>ubelo</lex>, <lang>свн.</lang> <lex>übele</lex>."
"ûfen","<heading><strong>ûfen</strong></heading> <lang>двн.</lang> <lang>свн.</lang> (предл. с вин. дат.) <em>на, в, по, до</em>; <lang>дс.</lang> <lex>uppan</lex>.",,"uppan",,
"ûfgangan","<heading><strong>ûfgangan</strong></heading> <em>всходить (о солнце, о зерне)</em>; <lang>нн.</lang> <lex>aufgehen</lex>.",,"aufgehen",,
"ûfheffen","<heading><strong>ûfheffen</strong></heading> (снгл.) <em>поднимать</em>; <lang>нн.</lang> <lex>aufheben</lex>.",,"aufheben",,
"ûfhimil","<heading><strong>ûfhimil</strong></heading> <gender>мр</gender> <em>небо наверху</em>; <lang>дс.</lang> <lex>uphimil</lex>.",,"uphimil",,
"ûflîh","<heading><strong>ûflîh</strong></heading> (прил.) <em>находящийся наверху</em>.",,,,
"ûfreht","<heading><strong>ûfreht</strong></heading> (прил.) <em>прямой</em>; <lang>нн.</lang> <lex>aufrecht</lex>.",,"aufrecht",,
"ûfstantan, ûfstân, ûfstên","<heading><strong>ûfstantan</strong></heading>, <heading><strong>ûfstân</strong></heading>, <heading><strong>ûfstên</strong></heading> <em>подниматься, вставать</em>; <lang>нн.</lang> <lex>aufstehen</lex>.",,"aufstehen",,
"ûfwert","<heading><strong>ûfwert</strong></heading> (нар.) <em>вверх, наверх</em>; <lang>нн.</lang> <lex>aufwärts</lex>.",,"aufwärts",,
"umbevâhen","<heading><strong>umbevâhen</strong></heading> <lang>свн.</lang> <em>обнимать</em>; ср. <lang>нн.</lang> <lex>um­fangen</lex>.",,"um­fangen",,
"umberede","<heading><strong>umberede</strong></heading> <lang>свн.</lang> <gender>жр</gender> (сн.) <em>беседа</em>.",,,,
"umbesweifen","<heading><strong>umbesweifen</strong></heading> <lang>свн.</lang> (снгл. 7) <em>надевать, на­кидывать; обнимать</em>.",,,,
"umbi, umpi, umbe","<heading><strong>umbi</strong></heading>, <heading><strong>umpi</strong></heading>, <heading><strong>umbe</strong></heading>, <lang>свн.</lang> <lex>umbe</lex> (нар.) <em>кругом</em>, (предл. с вин.) <em>около, вокруг, через, ради, за, из-за, о, касательно</em>; <lang>нн.</lang> <lex>um</lex>; <lang>дс.</lang> <lex>umbi</lex>, <lang>да.</lang> <lex>ymbe</lex>, <lang>ди.</lang> <lex variants="umb, um">um(b)</lex>.",,"ymbe, umbi, umbe, um, umb",,
"umbigân","<heading><strong>umbigân</strong></heading> <em>истекать, проходить</em>; <lang>нн.</lang> <lex>um­gehen</lex> <em>обходить</em>.",,"um­gehen",,
"umbigraban","<heading><strong>umbigraban</strong></heading> (снгл. 6) <em>окопать</em>; <lang>нн.</lang> <lex>um­graben</lex>.",,"um­graben",,
"umbirîtan","<heading><strong>umbirîtan</strong></heading> (снгл. 1) <em>объезжать верхом, окружать</em>; <lang>нн.</lang> <lex>umreiten</lex>.",,"umreiten",,
"umbiwerft","<heading><strong>umbiwerft</strong></heading> <gender>мр</gender> <em>поворот, вращение; ок­ружность</em>; <lex>al</lex> <lex>these</lex> <lex>umbiwerft</lex> <em>вся земля</em>.",,"umbiwerft, these, al",,
"umme","<heading><strong>umme</strong></heading> <lang>нжн.</lang> (предл.) <em>вокруг, ради, для</em>; <lang>нн.</lang> <lex>um</lex>.",,"um",,
"ummet","<heading><strong>ummet</strong></heading> <lang>дс.</lang> <source>— Хильт.—</source> (нар.) <em>безмерно, очень</em>; <lang>нн.</lang> <lex>unmäßig</lex>; ср. <lang>двн.</lang> <lex>unmeȥ</lex> <gender>срр</gender> <em>безмерность</em>.","Хильт.","unmäßig, unmeȥ",,
"unbera","<heading><strong>unbera</strong></heading> (прил.) <em>бесплодная</em>.",,,,
"unbillîch","<heading><strong>unbillîch</strong></heading> <lang>свн.</lang> (прил.) <em>неправильный, не­справедливый, несоответственный</em>; <lang>нн.</lang> <lex>unbillig</lex> <em>несправедливый</em>.",,"unbillig",,
"undarquedan","<heading><strong>undarquedan</strong></heading> (снгл. 5) <em>запрещать</em>.",,,,
"undenân","<heading><strong>undenân</strong></heading> (нар.) <em>снизу, внизу</em>; <lang>нн.</lang> <lex>untenan</lex>.",,"untenan",,
"underfâhen","<heading><strong>underfâhen</strong></heading> <lang>свн.</lang> (снгл. 7) <em>задерживать, мешать; удерживать</em>.",,,,
"undergân","<heading><strong>undergân</strong></heading> <em>погибать, лишать</em>; <lang>нн.</lang> <lex>un­tergehen</lex>.",,"un­tergehen",,
"undzrneman","<heading><strong>undzrneman</strong></heading> (снгл. 4) <em>прерывать, отни­мать (иногда)</em>.",,,,
"underskidôn","<heading><strong>underskidôn</strong></heading> (слгл. 2) <em>различать</em>; <lang>нн.</lang> <lex>unterscheiden</lex>.",,"unterscheiden",,
"understrîchen","<heading><strong>understrîchen</strong></heading> <lang>свн.</lang> (снгл. 1) <em>красить, гримировать</em>; ср. <lang>нн.</lang> <lex>unterstreichen</lex> <em>подчеркивать</em>.",,"unterstreichen",,
"undertân","<heading><strong>undertân</strong></heading> <lang>свн.</lang> <gender>мр</gender> (сн.), <lex>undertâne</lex> <gender>мр</gender> (сл.) <em>подневольный, подчиненный, поддан­ный</em>; <lang>нн.</lang> <lex>Untertan</lex>: субст. прич. от <lang>двн.</lang> <lex>untartuon</lex> <em>подчинять</em>.",,"Untertan, undertâne, untartuon",,
"underwenden","<heading><strong>underwenden</strong></heading> <lang>свн.</lang> (слгл.) <em>заботиться</em>.",,,,
"underwîlen, underwîlent","<heading variants="underwîlen, underwîlent"><strong>underwîlen(t)</strong></heading> <lang>свн.</lang> (нар.) <em>иногда, подчас</em>.",,,,
"underwinden","<heading><strong>underwinden</strong></heading> <lang>свн.</lang> (снгл. 3) <em>взять на себя заботу, руководить</em>; <lang>нн.</lang> <lex>sich</lex> <lex>unterwin­den</lex> <lex>unêren</lex> <lang>свн.</lang> (слгл.) <em>бесчестить, ругать, стыдить</em>; ср. <lang>нн.</lang> <lex>verunehren</lex>.",,"sich, unterwin­den, verunehren, unêren",,
"unfollîh, unvollanlîh","<heading><strong>unfollîh</strong></heading>, <heading><strong>unvollanlîh</strong></heading> (прил.) <em>не полно­стью сделанный</em>.",,,,
"ungeferte","<heading><strong>ungeferte</strong></heading> <lang>свн.</lang> <gender>срр</gender> <em>тяжесть путешест­вия</em>.",,,,
"ungefrent","<heading><strong>ungefrent</strong></heading> <lang>рнвн.</lang> <em>грустный</em>.",,,,
"ungefüege","<heading><strong>ungefüege</strong></heading> <lang>свн.</lang> (прил.) <em>чудовищный</em>; <lang>нн.</lang> <lex>ungefüge</lex> <em>неуклюжий</em>.",,"ungefüge",,
"ungelêret","<heading><strong>ungelêret</strong></heading> (прил. прич.) <em>необученный</em>.",,,,
"ungelt","<heading><strong>ungelt</strong></heading> <lang>свн.</lang> <gender>срр</gender> <gender>мр</gender> <em>(несправедливый) налог, сбор</em>; ср. <lang>нн.</lang> устар. <lex>Ungeld</lex>, <lex>ungemah</lex> <gender>срр</gender>, <lang>свн.</lang> <lex>ungemach</lex> <gender>срр</gender> <gender>мр</gender> <em>неправда, беспокойство, неприятность</em>; <lang>нн.</lang> <lex>Ungemach</lex>.",,"Ungemach, ungemah, Ungeld, ungemach",,
"ungenâde, ungnâde","<heading><strong>ungenâde</strong></heading>, <heading><strong>ungnâde</strong></heading> <gender>жр</gender> (сн.) <em>беспокойст­во, безутешное состояние; немилость</em>; <lang>нн.</lang> <lex>Ungnade</lex>.",,"Ungnade",,
"ungerno","<heading><strong>ungerno</strong></heading>, <lang>свн.</lang> <lex>ungerne</lex> (нар.) <em>неохотно</em>; <lang>нн.</lang> <lex>ungern</lex>.",,"ungern, ungerne",,
"ungeschlacht","<heading><strong>ungeschlacht</strong></heading> <lang>рнвн.</lang> (прил.) <em>плохой, скверный</em>; <lang>нн.</lang> <lex>ungeschlacht</lex> <em>неуклюжий</em>.",,"ungeschlacht",,
"ungetruckent","<heading><strong>ungetruckent</strong></heading> <lang>рнвн.</lang> (прич. прил.) <em>не­высохший, непросушенный</em>; <lang>нн.</lang> <lex>ungetrocknet</lex>.",,"ungetrocknet",,
"ungewin","<heading><strong>ungewin</strong></heading> <lang>свн.</lang> <gender>мр</gender> <em>ущерб, недостаток</em>.",,,,
"ungewon","<heading><strong>ungewon</strong></heading> <lang>свн.</lang> (прил.) <em>непривычный, не­обычный</em>; <lang>нн.</lang> <lex>ungewohnt</lex>.",,"ungewohnt",,
"ungewonlîch","<heading><strong>ungewonlîch</strong></heading>. <lang>свн.</lang> (прил.) <em>непривычный, необычайный</em>; <lang>нн.</lang> <lex>ungewöhnlich</lex> <lex>ungilimphlîh</lex>, <lex>ungalimflîh</lex> (прил.) <em>не­подходящий</em>; <lang>нн.</lang> <lex>unglimpflich</lex> <em>не­справедливый , оскорбительный</em>.",,"ungilimphlîh, ungewöhnlich, ungalimflîh, unglimpflich",,
"ungiloubfol","<heading><strong>ungiloubfol</strong></heading> (прил.) <em>неверующий</em>.",,,,
"unchilaubendi","<heading><strong>unchilaubendi</strong></heading> (прил.) <em>неверующий</em>.",,,,
"ungiloubig","<heading><strong>ungiloubig</strong></heading> (прил.) <em>неверующий</em>; <lang>нн.</lang> <lex>un­gläubig</lex>.",,"un­gläubig",,
"ungiloubo, unchilaubo","<heading><strong>ungiloubo</strong></heading>, <heading><strong>unchilaubo</strong></heading> (прил.), <gender>мр</gender> (n) <em>неверующий</em>; <lang>нн.</lang> <lex>ungläubig</lex>, <lex>der</lex> <lex>Un­gläubige</lex>.",,"der, ungläubig, Un­gläubige",,
"ungimah","<heading><strong>ungimah</strong></heading> (прил.) <em>неудобный</em>; ср. <lang>нн.</lang> <lex>un­gemach</lex> <lex>lieh</lex>.",,"lieh, un­gemach",,
"ungiwândo","<heading><strong>ungiwândo</strong></heading> (нар.) <em>неожиданно</em>.",,,,
"unheil","<heading><strong>unheil</strong></heading> <lang>свн.</lang> <gender>срр</gender> <em>нездоровье, бессилие, не­счастье</em>; <lang>нн.</lang> <lex>Unheil</lex>.",,"Unheil",,
"unhôrsam","<heading><strong>unhôrsam</strong></heading>, <lang>свн.</lang> <lex>ungehôrsam</lex> (прил.) <em>не­послушный</em>; <lang>нн.</lang> <lex>ungehorsam</lex>.",,"ungehôrsam, ungehorsam",,
"unchunt","<heading><strong>unchunt</strong></heading> (прил.) <em>неизвестный</em>; <lang>нн.</lang> <lex>unkun­dig</lex>.",,"unkun­dig",,
"unlanc","<heading><strong>unlanc</strong></heading> <lang>свн.</lang> (прил.) <em>недолгий, непродол­жительный</em>; <lex>unlange</lex> (нар.).",,"unlange",,
"unlanges","<heading><strong>unlanges</strong></heading> <lang>свн.</lang> (нар.) <em>вскоре</em>.",,,,
"unmanig","<heading><strong>unmanig</strong></heading> (прил.) <em>немногий</em>.",,,,
"unmære","<heading><strong>unmære</strong></heading> <lang>свн.</lang> (прил.) <em>нелюбимый, мало­стоящий, презренный</em>.",,,,
"unmaeren","<heading><strong>unmaeren</strong></heading> <lang>свн.</lang> (слгл.) <em>делать недостойное дело, пренебрегать чём-л</em>.",,,,
"unmaȥe","<heading><strong>unmaȥe</strong></heading> <lang>свн.</lang> (нар.) <em>непомерно</em>; ср. <lang>нн.</lang> <lex>unmäßig</lex>.",,"unmäßig",,
"unmuoȥe","<heading><strong>unmuoȥe</strong></heading> <lang>свн.</lang> <gender>жр</gender> (сн.) <em>беспокойство</em>; ср. <lang>нн.</lang> <lex>Muße</lex> <em>отдых, покой</em>.",,"Muße",,
"unnan, giunnan","<heading><strong>unnan</strong></heading>, <heading><strong>giunnan</strong></heading> (прпргл.), <lang>свн.</lang> <lex>gunnen</lex> <em>не завидовать, позволять</em> (в <lang>двн.</lang> наст. изъяв. ед. <lex>an</lex>, мн. <lex>unnun</lex>, сосл. <lex>unni</lex>, прош. <lex>onda</lex>); <lang>нн.</lang> <lex>gönnen</lex>; <lang>дс.</lang> <lang>да.</lang> <lex>unnan</lex>, <lang>ди.</lang> <lex>unna</lex>.",,"an, gunnen, unnun, unni, gönnen, onda, unna, unnan",,
"unnuzzi","<heading><strong>unnuzzi</strong></heading>, <lang>свн.</lang> <lex>unnutze</lex> (прил.) <em>бесполез­ный, напрасный</em>; <lang>нн.</lang> <lex>unnütz</lex>.",,"unnütz, unnutze",,
"unreht","<heading><strong>unreht</strong></heading> <gender>срр</gender> <em>неправда, несправедливость</em>; <lang>нн.</lang> <lex>Unrecht</lex>.",,"Unrecht",,
"uns","<heading><strong>uns</strong></heading> <lang>двн.</lang> <lang>свн.</lang> (личн. мест.) дат. мн. <em>нам</em> (в <lang>свн.</lang> также вин. <em>нас</em>) <lang>нн.</lang> <lex>uns</lex>, <lang>дс.</lang> <lang>да.</lang> <lex>ūs</lex>, <lang>а.</lang> <lex>us</lex>, <lang>ди.</lang> <lex>oss</lex>; <lang>го.</lang> <lex>uns</lex>.",,"us, uns, oss, ūs",,
"unscant","<heading><strong>unscant</strong></heading> (прил.) <em>непостыдный</em>.",,,,
"unsêr","<heading><strong>unsêr</strong></heading>, <lang>свн.</lang> <lex>unser</lex> (прит. мест.) <em>наш</em>; <lang>нн.</lang> <lex>unser</lex>; <lang>дс.</lang> <lex>ûsa</lex>, <lang>да.</lang> <lex>ūre</lex>, <lex>ūser</lex>, <lang>го.</lang> <lex>unsar</lex>.",,"ûsa, unsar, ūre, ūser, unser",,
"unslit, unsliht","<heading><strong>unslit</strong></heading>, <heading><strong>unsliht</strong></heading> <lang>свн.</lang> <gender>срр</gender> <em>сало (использу­емое для технических целей)</em> (<lang>двн.</lang> <lex>ingislahti</lex>); <lang>нн.</lang> <lex>Unschlitt</lex>.",,"Unschlitt, ingislahti",,
"unstâti","<heading><strong>unstâti</strong></heading>, <lang>свн.</lang> <lex>unstæte</lex> (прил.) <em>непостоян­ный, изменчивый</em>; <lang>нн.</lang> <lex>unstet</lex>.",,"unstæte, unstet",,
"untar, under","<heading><strong>untar</strong></heading>, <heading><strong>under</strong></heading>, <lang>свн.</lang> <lex>under</lex>, <lex>undir</lex> (нар. предл. с вин. дат.) <em>между, среди, под</em>; <lang>нн.</lang> <lex>unter</lex>; <lang>дс.</lang> <lang>го.</lang> <lex>undar</lex>, <lang>да.</lang> <lex>under</lex>.",,"under, unter, undir, undar",,
"untarfallan","<heading><strong>untarfallan</strong></heading> (снгл. 7) (время от времени) <em>падать, ступать</em>.",,,,
"untazs","<heading><strong>untazs</strong></heading> (предл. с вин.) <em>до, вплоть до</em>.",,,,
"unthat, und that","<heading><strong>unthat</strong></heading>, <heading><strong>und that</strong></heading> <lang>дс.</lang> (сз.) <em>пока (не)</em>.",,,,
"unti, unte, unde","<heading><strong>unti</strong></heading>, <heading><strong>unte</strong></heading>, <heading><strong>unde</strong></heading> (сз.) <em>и</em>; <lang>нн.</lang> <lex>und</lex>; <linked variants="anti, unz">см. anti, unz</linked>.",,"und","anti, unz","<heading><strong>anti</strong></heading>, <heading><strong>enti</strong></heading>, <heading><strong>endi</strong></heading>, <heading><strong>indi</strong></heading>, <heading><strong>inti</strong></heading>, <heading><strong>int</strong></heading>, <heading><strong>in</strong></heading>, <heading><strong>unti</strong></heading>, <heading><strong>unta</strong></heading>, <heading><strong>im</strong></heading>, <lang>свн.</lang> <lex variants="unde, und">und(e)</lex> (сз.) <em>и</em>; <lang>нн.</lang> <lex>und</lex>; <lang>дс.</lang> <lex>endi</lex>, <lang>да.</lang> а, <lex>and</lex>., <heading><strong>unz</strong></heading>, <heading><strong>unzi</strong></heading> (<source>— Хильт.—</source> <lex>unti</lex>), <lang>свн.</lang> <lex>unz</lex>, <lex>unze</lex> (предл. с вин.) <em>до, до тех пор по­ка</em>, (сз.) <em>до, по, в, в продолжение, в течение</em>; <lang>дс.</lang> <lex>unt</lex>, <lang>го.</lang> <lex>unte</lex>."
"untriuwe, untriwe","<heading><strong>untriuwe</strong></heading>, <heading><strong>untriwe</strong></heading> <lang>свн.</lang> <gender>жр</gender> <em>неверность, измена, обман</em>; <lang>нн.</lang> <lex>Untreue</lex>.",,"Untreue",,
"unwahsan","<heading><strong>unwahsan</strong></heading> (прил. прич.) <em>не выросший</em>, ср. <lang>нн.</lang> <lex>unerwachsen</lex>.",,"unerwachsen",,
"unwerdnissa","<heading><strong>unwerdnissa</strong></heading> <gender>жр</gender> (ô) <em>презрение</em>.",,,,
"umverdôn","<heading><strong>umverdôn</strong></heading> <em>сердиться, обижаться</em>.",,,,
"unz, unzi","<heading><strong>unz</strong></heading>, <heading><strong>unzi</strong></heading> (<source>— Хильт.—</source> <lex>unti</lex>), <lang>свн.</lang> <lex>unz</lex>, <lex>unze</lex> (предл. с вин.) <em>до, до тех пор по­ка</em>, (сз.) <em>до, по, в, в продолжение, в течение</em>; <lang>дс.</lang> <lex>unt</lex>, <lang>го.</lang> <lex>unte</lex>.","Хильт.","unt, unti, unte, unze, unz",,
"unzan, unz an","<heading variants="unzan, unz an"><strong>unzan (=unz an)</strong></heading> (предл. с вин.) <em>до, до тех пор пока</em>.",,,,
"unzerworht","<heading><strong>unzerworht</strong></heading> <lang>свн.</lang> (прил. прич.) <em>неразло­жимый</em>.",,,,
"unzît","<heading><strong>unzît</strong></heading> <gender>жр</gender> (i) <em>ненадлежащее время</em>; <lang>нн.</lang> <lex>Unzeit</lex>; <lang>дс.</lang> <lex>untîd</lex>.",,"Unzeit, untîd",,
"unzîtîc","<heading><strong>unzîtîc</strong></heading> <lang>свн.</lang> (прил.) <em>несвоевременный, не­подходящий</em>; <lang>нн.</lang> <lex>unzeitig</lex>.",,"unzeitig",,
"uoben","<heading><strong>uoben</strong></heading> (слгл. 1), <lang>свн.</lang> <lex>üeben</lex> <em>заниматься (чем-л.), быть занятым</em>; <lang>нн.</lang> <lex>üben</lex>; <lang>дс.</lang> <lex>ôƀian</lex> <em>справлять праздник</em>, <lang>ди.</lang> <lex>œfa</lex>, ср. <lang>лат.</lang> <lex>opus</lex> <em>дело</em>, <lex>operāri</lex> <em>действовать</em>.",,"üben, opus, operāri, œfa, ôƀian, üeben",,
"upp","<heading><strong>upp</strong></heading> <lang>дс.</lang> (нар.) <em>наверх</em>; <lex>upp</lex> <lex>dôn</lex> <em>поднимать (паруса)</em>; <lang>двн.</lang> <lex>ûf</lex>.",,"ûf, upp, dôn",,
"ur-","<heading><strong>ur-</strong></heading> <lang>двн.</lang> <lang>свн.</lang> (преф.) под ударением; безударная форма <lang>двн.</lang> <lex>ir-</lex>, <lex>ar-</lex>, <lang>свн.</lang> <lex>er-</lex>; <lang>нн.</lang> <lex>ur-</lex>.",,"ar-, ur-, er-, ir-",,
"ur, ar, er, ir","<heading><strong>ur</strong></heading>, <heading><strong>ar</strong></heading>, <heading><strong>er</strong></heading>, <heading><strong>ir</strong></heading> (предл.) <em>от, из</em>, <lang>го.</lang> <lex>us</lex>.",,"us",,
"urchundî, urchundîn","<heading variants="urchundî, urchundîn"><strong>urchundî(n)</strong></heading> <gender>жр</gender>, <lang>свн.</lang> <lex>Urkunde</lex> <em>свидетель­ство (перв. устное и письменное)</em>; <lang>нн.</lang> <lex>Urkunde</lex> <em>документ</em>.",,"Urkunde",,
"urhap","<heading><strong>urhap</strong></heading> <gender>мр</gender> <gender>срр</gender> <em>закваска, опара; ссора, борьба; начало, происхождение, при­чина</em>.",,,,
"urhêtto","<heading><strong>urhêtto</strong></heading> <source>— Хильт. 2—</source> <gender>мр</gender> <em>воин, витязь</em>; <lang>да.</lang> <lex>ōretta</lex>.","Хильт. 2","ōretta",,
"uri, ury","<heading><strong>uri</strong></heading>, <heading><strong>ury</strong></heading> <lang>нжн.</lang> (прил.) <em>свободный, безза­ботный</em>.",,,,
"urliugefluht","<heading><strong>urliugefluht</strong></heading> <lang>свн.</lang> <gender>жр</gender> (i) <em>бегство (на войне)</em>; из <lex>urliuge</lex> <em>война</em> и <lex>fluht</lex> <em>бегство</em>.",,"urliuge, fluht",,
"urloub","<heading><strong>urloub</strong></heading> и <lex>urlub</lex> <gender>мр</gender> <em>разрешение</em>, <lang>свн.</lang> <lex>urloup</lex> <em>разрешение уйти, удалиться</em>; <lang>нн.</lang> <lex>Urlaub</lex>; <lang>дс.</lang> <lex>orlôf</lex>, ср. <lang>а.</lang> <lex>leave</lex>.",,"leave, urlub, orlôf, Urlaub, urloup",,
"urminni","<heading><strong>urminni</strong></heading> (прил. с род.) <em>не думающий (о чём-л.)</em>.",,,,
"urspring","<heading><strong>urspring</strong></heading>, <lang>свн.</lang> <lex>ursprinc</lex> <gender>мр</gender> <gender>срр</gender> <em>росток; источник, ключ</em>; ср. <lang>нн.</lang> <lex>Ursprung</lex> <em>происхождение</em>.",,"Ursprung, ursprinc",,
"urwâni","<heading><strong>urwâni</strong></heading> (прил.) <em>происходящий вопреки ожиданию, невозможный</em>.",,,,
"usa","<heading><strong>usa</strong></heading><source>— Разг.—</source> , <linked>см. hûs</linked>.","Разг.",,"hûs","<heading><strong>hûs</strong></heading> <lang>двн.</lang> <lang>свн.</lang> <gender>срр</gender> (a) <em>дом</em>; <lang>нн.</lang> <lex>Haus</lex>; <lang>дс.</lang> <lang>да.</lang> <lang>ди.</lang> <lang>го.</lang> <lex>hūs</lex>."
"ûsa","<heading><strong>ûsa</strong></heading> <lang>дс.</lang> (мест.), <linked>см. unser</linked>.",,,"unser","<heading><strong>ih</strong></heading>, <heading><strong>ich</strong></heading> <lang>двн.</lang> <lang>свн.</lang> (мест.) <em>я</em>; <lang>нн.</lang> <lex>ich</lex>; <lang>двн.</lang> формы; ед. род. <lex>min</lex>, дат. <lex>mir</lex>, вин. <lex>mih</lex>, мн. им. <lex>wer</lex>, род. <lex>unser</lex>, дат. <lex>uns</lex>, вин. <lex>unsih</lex>; <lang>дс.</lang> <lex>ik</lex>, <lang>да.</lang> <lex>ic</lex>, <lang>ди.</lang> <lex>ek</lex>, <lang>го.</lang> <lex>ik</lex> (косв. пад. восходят к корню <lex>*me</lex>, <linked>см. min</linked>); <linked>см. ik</linked>; ср. <lang>греч.</lang> <lex>egō</lex>, <lang>лат.</lang> <lex>ego</lex>, <lang>слав.</lang> <lex>«азъ»</lex>., <heading><strong>unsêr</strong></heading>, <lang>свн.</lang> <lex>unser</lex> (прит. мест.) <em>наш</em>; <lang>нн.</lang> <lex>unser</lex>; <lang>дс.</lang> <lex>ûsa</lex>, <lang>да.</lang> <lex>ūre</lex>, <lex>ūser</lex>, <lang>го.</lang> <lex>unsar</lex>."
"ûst","<heading><strong>ûst</strong></heading> <lang>дс.</lang> <gender>жр</gender> (i) <em>ураган, шторм</em>.",,,,
